Material,Sensor_Type,Gas,Concentration_ppm,Temperature,Humidity,Bandgap,WorkFunction,DipoleMoment,MolecularWeight,MaxResponse,ResponseAmplitude,ResponseTime,RecoveryTime,Selectivity,AdsorptionEnergy
ZnO,MQ135,NH3,50,300,40,3.3,5.2,1.4,17,0.85,0.60,12,20,2.1,-1.10
ZnO,MQ135,CO,50,300,40,3.3,5.2,0.1,28,0.40,0.20,8,12,1.2,-0.50
Graphene,TGS2602,NO2,10,300,30,0,4.6,0.3,46,0.90,0.70,15,25,3.5,-1.30
SnO2,MQ7,CO,100,300,35,3.6,4.9,0.1,28,0.75,0.50,10,18,2.8,-0.90
ZnO,MQ135,H2S,30,300,45,3.3,5.2,0.97,34,0.80,0.55,11,19,2.3,-1.00
Graphene,TGS2602,NH3,20,300,30,0,4.6,1.4,17,0.65,0.40,9,15,1.8,-0.60
SnO2,MQ7,NO2,15,300,35,3.6,4.9,0.3,46,0.88,0.68,14,24,3.2,-1.25
ZnO,MQ135,CO,70,310,50,3.3,5.2,0.1,28,0.55,0.30,9,14,1.5,-0.70
Graphene,TGS2602,H2S,25,305,35,0,4.6,0.97,34,0.72,0.48,10,16,2.0,-0.80
SnO2,MQ7,NH3,60,300,40,3.6,4.9,1.4,17,0.78,0.52,11,18,2.4,-0.95
ZnO,MQ135,NO2,20,300,42,3.3,5.2,0.3,46,0.92,0.75,16,26,3.8,-1.40
Graphene,TGS2602,CO,40,300,33,0,4.6,0.1,28,0.50,0.25,8,13,1.3,-0.55
SnO2,MQ7,H2S,35,300,38,3.6,4.9,0.97,34,0.83,0.60,12,20,2.6,-1.05
ZnO,MQ135,NH3,80,310,45,3.3,5.2,1.4,17,0.88,0.62,13,21,2.2,-1.15
Graphene,TGS2602,NO2,12,300,30,0,4.6,0.3,46,0.93,0.78,17,27,3.9,-1.45
SnO2,MQ7,CO,120,305,37,3.6,4.9,0.1,28,0.80,0.55,11,17,2.7,-1.00
ZnO,MQ135,H2S,45,300,48,3.3,5.2,0.97,34,0.82,0.58,12,20,2.5,-1.10
Graphene,TGS2602,NH3,30,300,32,0,4.6,1.4,17,0.70,0.45,10,16,2.0,-0.75
SnO2,MQ7,NO2,18,300,36,3.6,4.9,0.3,46,0.89,0.72,15,25,3.3,-1.30
ZnO,MQ135,CO,90,315,50,3.3,5.2,0.1,28,0.60,0.35,9,15,1.6,-0.80
